'Dostavljac_1' '42.46' '19.2563'
'Dostavljac_2' '42.4361' '19.2961'
'Dostavljac_3' '42.4324' '19.2671'
'Dostavljac_4' '42.4256' '19.3095'
'Dostavljac_5' '42.462' '19.2304'
'Dostavljac_6' '42.4215' '19.231'
'Dostavljac_7' '42.4547' '19.2617'
'Dostavljac_8' '42.4368' '19.3049'
'Dostavljac_9' '42.4617' '19.2309'
'Dostavljac_10' '42.4563' '19.2245'
'Dostavljac_11' '42.4445' '19.2607'
'Dostavljac_12' '42.4674' '19.2367'
'Dostavljac_13' '42.4608' '19.257'
'Dostavljac_14' '42.4441' '19.254'
'Dostavljac_15' '42.4535' '19.2666'
'Dostavljac_16' '42.4254' '19.2815'
'Dostavljac_17' '42.4227' '19.2725'
'Dostavljac_18' '42.4318' '19.2127'
'Dostavljac_19' '42.4706' '19.2801'
'Dostavljac_20' '42.4231' '19.2454'
'Dostavljac_21' '42.4293' '19.2325'
'Dostavljac_22' '42.4289' '19.2651'
'Dostavljac_23' '42.438' '19.2646'
'Dostavljac_24' '42.4544' '19.2357'
'Dostavljac_25' '42.4187' '19.2867'
'Dostavljac_26' '42.456' '19.3041'
'Dostavljac_27' '42.4479' '19.2977'
'Dostavljac_28' '42.47' '19.2186'
'Dostavljac_29' '42.444' '19.3153'
'Dostavljac_30' '42.4309' '19.3116'
'Dostavljac_31' '42.4481' '19.2823'
'Dostavljac_32' '42.4236' '19.2898'
'Dostavljac_33' '42.4626' '19.284'
'Dostavljac_34' '42.4717' '19.2793'
'Dostavljac_35' '42.4576' '19.3166'
'Dostavljac_36' '42.4217' '19.2246'
'Dostavljac_37' '42.447' '19.293'
'Dostavljac_38' '42.4404' '19.2283'
'Dostavljac_39' '42.4425' '19.2448'
'Dostavljac_40' '42.454' '19.308'
